CUST_ID,ANNUAL_INCOME,RESIDENTIAL_STATE,AGE,SURVEY_DATE,Payment,Payment_from_food,Payment_from_hotel,Payment_from_spa,profit,profit_from_food,profit_from_hotel,days_hotel21,days_hotel31,days_hotel11,days_or_number_FD2,days_or_number_ROOM1,days_or_number_ROOM3,days_or_number_FD3,days_or_number_ROOM2,days_or_number_FD4,days_or_number_SPA1,days_or_number_SPA3,days_or_number_ROOM4,days_or_number_LOUNG,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,count_bookings,book_to_pay,book_to_check,corporate_percent,interstate,Indicator Test
C_4185,99000,NSW,24,3/07/2018,15105,2625,12480,0,7370,1130,6240,78,0,0,33,78,0,40,0,0,0,0,0,0,0,39,39,0,0,0,0,39,9,7,1,1,#N/A
C_8376,126000,NSW,32,3/07/2018,15095,2615,12480,0,7360,1120,6240,78,0,0,38,78,0,37,0,0,0,0,0,0,0,39,39,0,0,0,0,39,9,7,1,1,#N/A
C_3964,40000,NSW,22,5/08/2018,15020,2440,11780,800,7720,1660,6060,17,17,29,36,46,0,12,17,40,0,2,0,0,10,10,9,8,8,8,10,4,30.07692308,14,0,0.846153846,#N/A
C_3459,0,QLD,18,23/11/2018,14950,250,14700,0,9580,130,9450,0,21,0,4,0,0,0,0,6,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0,0,1
C_3186,78000,TAS,51,19/12/2018,14840,200,14640,0,9400,80,9320,24,0,0,8,4,0,0,0,0,0,0,20,0,2,3,4,4,4,4,3,2,28.66666667,14,0,1,1
C_1868,115000,NSW,32,3/07/2018,14810,2010,12800,0,7270,870,6400,80,0,0,21,80,0,33,0,0,0,0,0,0,0,40,40,0,0,0,0,40,9,7,1,1,#N/A
C_9823,246000,NT,60,31/05/2019,14745,45,14700,0,9470,20,9450,0,21,0,0,0,0,1,0,0,0,0,21,0,3,3,3,3,3,3,3,1,35,14,0,1,1
C_1285,62000,NSW,25,14/08/2018,14725,1905,12460,360,7670,1090,6580,41,15,0,34,21,0,9,35,26,6,0,0,0,7,8,8,8,9,8,8,3,32.75,14,0,1,#N/A
C_8252,34000,SA,18,19/10/2018,14690,990,13300,400,8525,775,7750,35,11,0,0,35,0,7,0,27,0,1,11,0,7,6,6,6,7,7,7,3,31.125,14,0,1,1
C_2143,162000,NSW,31,3/07/2018,14625,2465,12160,0,7140,1060,6080,76,0,0,32,76,0,37,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_2389,96000,NSW,28,3/07/2018,14565,2405,12160,0,7110,1030,6080,76,0,0,35,76,0,34,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_6048,108000,NSW,24,3/07/2018,14540,2380,12160,0,7100,1020,6080,76,0,0,34,76,0,34,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_3773,101000,NSW,27,3/07/2018,14515,2355,12160,0,7090,1010,6080,76,0,0,33,76,0,34,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_7969,162000,NT,38,7/10/2018,14495,495,14000,0,9250,250,9000,7,13,0,8,0,0,1,0,10,0,0,20,0,3,3,3,3,3,2,3,2,24.6,14,0.2,1,1
C_4974,61000,NSW,21,3/07/2018,14405,2245,12160,0,7050,970,6080,76,0,0,25,76,0,36,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_3318,57000,NSW,21,3/07/2018,14360,2520,11840,0,7000,1080,5920,74,0,0,36,74,0,36,0,0,0,0,0,0,0,37,37,0,0,0,0,37,9,7,1,1,#N/A
C_8333,0,SA,18,17/11/2018,14275,275,14000,0,9125,125,9000,0,20,0,8,0,0,0,0,3,0,0,20,0,3,3,3,3,2,3,3,1,34,14,0,1,1
C_4321,70000,TAS,45,23/03/2019,14265,1385,12880,0,8095,655,7440,18,0,20,17,18,20,13,0,15,0,0,0,0,6,6,5,5,4,6,6,2,33.14285714,14,0,1,#N/A
C_3141,61000,WA,23,3/09/2018,14230,1170,13060,0,8615,585,8030,0,16,15,8,16,0,11,0,19,0,0,15,0,5,5,4,5,4,4,4,2,29.5,14,0,1,1
C_5249,87000,TAS,32,1/06/2019,14150,150,14000,0,9085,85,9000,20,0,0,1,0,0,0,0,5,0,0,20,0,3,3,3,3,2,3,3,1,34,14,0,1,1
C_5220,101000,SA,40,24/06/2019,14120,720,12600,800,8880,780,8100,18,0,0,0,0,0,16,0,0,0,2,18,0,3,3,3,3,2,2,2,1,32,14,0,1,1
C_3156,102000,ACT,33,24/12/2018,14110,1230,12820,60,8415,635,7780,0,0,29,0,0,0,19,17,15,1,0,12,0,4,4,4,5,5,4,3,2,28.14285714,14,0,1,1
C_6543,63000,NSW,22,3/07/2018,14110,2270,11840,0,6900,980,5920,74,0,0,26,74,0,36,0,0,0,0,0,0,0,37,37,0,0,0,0,37,9,7,1,1,#N/A
C_9649,148000,NSW,30,3/07/2018,14025,1865,12160,0,6880,800,6080,76,0,0,26,76,0,27,0,0,0,0,0,0,0,38,38,0,0,0,0,38,9,7,1,1,#N/A
C_8088,86000,VIC,54,15/12/2018,13990,1750,12240,0,7905,785,7120,0,0,37,18,9,0,25,20,7,0,0,8,0,5,5,5,6,5,6,5,3,27.66666667,14,0,1,1
C_8584,193000,TAS,46,10/03/2019,13980,640,13340,0,8660,290,8370,0,26,0,2,9,0,12,0,2,0,0,17,0,4,3,4,4,4,3,4,2,27.8,14,0,1,1
C_1315,61000,QLD,21,21/11/2018,13825,525,12100,1200,8590,940,7650,0,6,13,6,0,6,5,0,6,0,3,13,0,3,2,2,3,3,3,3,2,22.33333333,14,0,0.166666667,1
C_3208,163000,QLD,45,23/04/2019,13700,1300,11200,1200,8495,1295,7200,16,0,0,14,0,0,15,0,11,0,3,16,0,2,3,3,2,2,2,2,1,30,14,0,0.2,1
C_9497,32000,QLD,20,17/01/2019,13640,640,12600,400,8665,565,8100,0,0,18,7,0,0,2,0,15,0,1,18,0,2,2,2,3,3,3,3,1,32,14,0,0.2,1
C_3653,90000,NSW,38,23/06/2019,13635,1035,12600,0,8565,465,8100,18,0,0,13,0,0,13,0,5,0,0,18,0,3,3,3,2,2,2,3,1,32,14,0,1,1
C_4865,158000,ACT,51,11/01/2019,13580,620,12960,0,8410,330,8080,0,27,0,0,11,0,6,0,14,0,0,16,0,4,4,4,3,4,4,4,2,27,14,0.2,1,1
C_6799,115000,NT,37,12/02/2019,13515,1535,11180,800,7570,1150,6420,18,0,13,14,0,13,23,18,6,0,2,0,0,4,5,5,4,4,4,5,2,29.5,14,0.125,1,#N/A
C_7816,164000,ACT,44,9/10/2018,13380,300,12960,120,7540,180,7360,14,18,8,12,8,14,0,18,0,2,0,0,0,6,5,5,5,7,6,6,3,27.2,14,0.2,1,#N/A
C_3698,100000,TAS,27,28/12/2018,13370,50,12520,800,8140,480,7660,0,14,17,2,17,0,0,0,0,0,2,14,0,4,4,4,4,5,5,5,2,29.5,14,0,1,1
C_1241,207000,NSW,60,18/04/2019,13355,475,11280,1600,7960,1120,6840,18,0,12,10,18,0,5,0,0,0,4,12,0,5,4,3,4,4,5,5,2,29,14,0,0.833333333,1
C_6079,167000,WA,47,28/06/2019,13310,910,11200,1200,8350,1150,7200,16,0,0,6,0,0,8,0,16,0,3,16,0,2,2,2,2,3,3,2,1,30,14,0.2,1,1
C_5871,50000,VIC,24,25/01/2019,13080,500,12400,180,7975,325,7650,0,22,0,13,0,15,0,0,7,3,0,7,0,3,3,3,3,3,4,3,2,23.66666667,14,0.166666667,1,1
C_5643,87000,TAS,47,4/10/2018,12995,395,12600,0,8315,215,8100,0,18,0,3,0,0,1,0,11,0,0,18,0,2,2,2,3,3,3,3,1,32,14,0,1,1
C_1899,38000,VIC,25,26/10/2018,12965,1205,9760,2000,7340,1750,5590,0,21,10,5,5,0,14,21,18,0,5,5,0,5,5,3,3,5,5,5,3,27,14,0.125,1,1
C_6966,102000,NSW,57,9/07/2018,12930,1930,10880,120,6615,1015,5600,23,35,0,35,42,0,4,16,35,2,0,0,0,9,9,8,8,8,8,8,4,30.08333333,14,0,1,#N/A
C_2194,216000,NT,56,20/09/2018,12925,325,12600,0,7700,130,7570,17,14,0,13,3,0,0,17,0,0,0,11,0,4,5,4,5,4,4,5,3,25.8,14,0,1,1
C_5317,37000,VIC,19,8/12/2018,12910,590,11920,400,7370,490,6880,32,0,0,2,0,15,12,17,0,0,1,0,0,5,5,4,4,4,5,5,2,29.4,14,0,0.6,#N/A
C_9176,179000,TAS,44,1/08/2018,12825,225,12600,0,8200,100,8100,0,0,18,0,0,0,5,0,0,0,0,18,0,2,2,3,3,3,3,2,1,32,14,0,1,1
C_8545,81000,QLD,24,10/10/2018,12820,1640,10380,800,6480,1180,5300,16,29,13,22,47,0,22,11,4,0,2,0,0,8,8,7,8,8,10,9,5,26.09090909,14,0,0.272727273,#N/A
C_3708,121000,ACT,40,22/01/2019,12790,1330,11460,0,6990,610,6380,0,0,44,18,31,13,14,0,10,0,0,0,0,6,5,6,6,7,7,7,3,29.5,14,0.125,1,#N/A
C_5438,152000,NSW,46,14/12/2018,12760,100,12660,0,7900,60,7840,25,0,0,0,0,0,0,11,4,0,0,14,0,4,3,3,3,4,4,4,2,27,14,0.333333333,1,1
C_7546,0,ACT,18,18/11/2018,12730,830,11900,0,8040,390,7650,0,17,0,9,0,0,9,0,8,0,0,17,0,3,3,2,2,2,2,3,1,31,14,0,1,1
C_8413,52000,ACT,18,30/11/2018,12545,725,11420,400,7250,590,6660,0,0,31,8,12,19,5,0,12,0,1,0,0,5,5,4,4,5,4,4,2,28.33333333,14,0,1,#N/A
C_9630,92000,TAS,45,25/12/2018,12495,455,12040,0,7665,245,7420,0,0,28,0,14,0,4,0,11,0,0,14,0,4,4,4,4,4,4,4,2,28,14,0,1,1
C_2318,51000,TAS,27,26/02/2019,12480,980,11500,0,7385,485,6900,0,7,16,8,0,23,9,0,15,0,0,0,0,3,4,4,3,3,3,3,2,25.5,14,0,1,#N/A
C_5776,81000,NT,24,17/01/2019,12450,550,11900,0,7940,290,7650,17,0,0,8,0,0,0,0,14,0,0,17,0,2,2,2,3,3,3,2,1,31,14,0,1,1
C_9173,84000,NSW,23,24/10/2018,12445,445,12000,0,7845,245,7600,0,0,21,3,5,0,1,0,13,0,0,16,0,2,2,3,4,4,3,3,2,25.6,14,0,0.6,1
C_1410,181000,SA,45,26/07/2018,12240,240,11760,240,7520,250,7270,13,2,9,0,2,0,2,9,6,4,0,13,0,3,3,4,4,4,3,3,3,23.83333333,14,0.166666667,1,1
C_5178,152000,QLD,38,9/11/2018,12225,325,11900,0,7815,165,7650,0,0,17,6,0,0,0,0,7,0,0,17,0,2,2,2,2,3,3,3,1,31,14,0,0.333333333,1
C_6267,102000,NSW,24,18/11/2018,12050,150,11900,0,7740,90,7650,0,17,0,0,0,0,0,0,6,0,0,17,0,3,3,2,2,2,2,3,1,31,14,0,1,1
C_6110,119000,VIC,44,4/09/2018,11995,575,11020,400,6835,495,6340,8,9,15,16,9,15,0,8,7,0,1,0,0,4,6,4,4,4,5,5,3,24.875,14,0.125,0.875,#N/A
C_1564,115000,SA,35,6/08/2018,11985,1325,10660,0,6375,635,5740,20,0,21,32,0,0,0,41,21,0,0,0,0,6,6,6,6,6,6,5,2,34.5,14,0,1,#N/A
C_9384,93000,NT,35,20/08/2018,11935,475,11220,240,7045,365,6680,2,16,7,1,0,16,5,7,9,4,0,2,0,4,4,4,4,3,3,3,3,25.42857143,14,0,1,1
C_8648,92000,SA,23,27/08/2018,11925,25,11900,0,7665,15,7650,0,0,17,0,0,0,0,0,1,0,0,17,0,3,3,3,2,2,2,2,1,31,14,0,1,1
C_6342,99000,WA,52,3/12/2018,11860,980,10700,180,6715,615,6100,30,5,0,0,20,15,9,0,23,3,0,0,0,6,5,5,4,4,5,6,3,26.5,14,0,1,#N/A
C_4301,78000,NSW,35,5/08/2018,11855,955,10900,0,6760,460,6300,15,0,17,17,15,17,4,0,14,0,0,0,0,5,5,4,4,4,4,6,2,29.85714286,14,0,0.857142857,#N/A
C_8328,157000,QLD,60,17/08/2018,11790,1850,9640,300,6210,1050,5160,6,33,0,28,5,0,10,34,28,5,0,0,0,6,6,6,5,5,5,6,4,24.35714286,14,0,0.071428571,#N/A
C_2310,180000,TAS,60,13/08/2018,11750,550,11080,120,7230,290,6940,0,0,22,13,8,0,5,0,0,2,0,14,0,3,3,3,3,4,3,3,2,26,14,0,1,1
C_2998,75000,NSW,32,21/04/2019,11710,350,11360,0,6790,150,6640,17,0,11,12,0,17,0,11,2,0,0,0,0,4,4,4,3,4,4,5,2,28.6,14,0,0.8,#N/A
C_8280,118000,TAS,38,2/01/2019,11700,400,10500,800,6995,695,6300,0,21,0,1,0,21,0,0,15,0,2,0,0,3,3,3,3,3,3,3,2,25.6,14,0,1,#N/A
C_2071,71000,TAS,38,11/01/2019,11675,275,9800,1600,7385,1085,6300,14,0,0,0,0,0,0,0,11,0,4,14,0,2,2,2,2,2,2,2,1,28,14,0,1,1
C_9939,220000,QLD,59,8/12/2018,11660,460,9600,1600,6710,1110,5600,0,14,10,13,0,14,3,10,0,0,4,0,0,4,3,3,3,3,4,4,2,25.6,14,0,0.2,#N/A
C_6846,68000,SA,22,5/04/2019,11640,440,11200,0,7390,190,7200,16,0,0,5,0,0,7,0,0,0,0,16,0,2,2,2,2,3,3,2,1,30,14,0,1,1
C_7525,54000,ACT,21,5/01/2019,11550,350,11200,0,7410,210,7200,0,16,0,0,0,0,0,0,14,0,0,16,0,2,2,2,2,2,3,3,1,30,14,0,1,1
C_2841,68000,NT,33,19/12/2018,11525,125,11400,0,7125,75,7050,20,0,0,0,0,13,0,0,5,0,0,7,0,3,2,3,3,3,3,3,2,23,14,0,1,1
C_1563,100000,WA,28,27/10/2018,11385,125,11200,60,7295,95,7200,0,0,16,2,0,0,0,0,3,1,0,16,0,2,2,2,2,2,3,3,1,30,14,0,1,1
C_9020,132000,TAS,46,22/03/2019,11325,125,11200,0,7250,50,7200,0,16,0,5,0,0,0,0,0,0,0,16,0,2,2,2,2,3,3,2,1,30,14,0,1,1
C_7265,132000,TAS,40,9/05/2019,11300,100,11200,0,7260,60,7200,0,0,16,0,0,0,0,0,4,0,0,16,0,2,2,2,3,3,2,2,1,30,14,0,1,1
C_2477,2000,ACT,19,17/11/2018,11275,375,10500,400,7190,440,6750,0,15,0,3,0,0,0,0,12,0,1,15,0,2,2,2,2,2,3,2,1,29,14,0,1,1
C_9931,115000,QLD,29,7/10/2018,11255,755,10500,0,7105,355,6750,0,15,0,0,0,0,14,0,5,0,0,15,0,2,2,2,2,2,2,3,1,29,14,0,0,1
C_4860,39000,ACT,25,28/02/2019,11035,535,10500,0,6520,220,6300,21,0,0,16,0,21,3,0,0,0,0,0,0,3,3,3,3,3,3,3,1,35,14,0,1,#N/A
C_1233,95000,NSW,47,18/03/2019,10980,1080,9500,400,6430,730,5700,19,0,0,17,0,19,9,0,10,0,1,0,0,3,3,3,3,3,2,2,1,33,14,0,1,#N/A
C_6709,70000,VIC,43,18/11/2018,10875,375,10500,0,6510,210,6300,0,21,0,3,0,21,0,0,12,0,0,0,0,3,3,3,3,3,3,3,1,35,14,0,1,#N/A
C_6601,47000,SA,30,22/07/2018,10865,1825,9040,0,5880,840,5040,9,0,24,23,17,9,20,7,14,0,0,0,0,6,5,4,4,4,4,6,3,25.18181818,14,0,1,#N/A
C_6038,156000,NSW,38,27/07/2018,10860,660,9800,400,6835,535,6300,0,0,14,14,0,0,3,0,7,0,1,14,0,2,2,2,2,2,2,2,1,28,14,0,0.8,1
