CUST_ID,HOTEL_ID,BOOKING_ID,SERVICE_ID,TXN_DATE,BOOK_DATE,CHECK_IN_DATE,CHECK_OUT_DATE,CHECK_IN_DAY,CHECK_OUT_DAY,QUANTITY,PAYMENT,CORPORATE_FLAG,DESCRIPTION,COST_TO_HOTEL,AGE,SURVEY_DATE,ANNUAL_INCOME,RESIDENTIAL_STATE,STATE,CITY,NO_OF_ROOMS,STANDARD_ROOM,DELUXE_ROOM,FAMILY_ROOM,CLUB_SUITE,COST_TOTAL,PROFIT,PROFIT_MARGIN,LEAD_TIME,DUMMY
C_1036,11,B2487,ROOM1,15/04/2019,17/03/2019,31/03/2019,15/04/2019,1,2,15,2400,N,Standard room per night,80,22,25/01/2019,74000,VIC,NSW,Sydney City,84,64,10,5,5,1200,1200,0.50,14,1
C_1036,31,B2487,FD2,15/04/2019,17/03/2019,#N/A,#N/A,#N/A,#N/A,1,25,N,Breakfast,15,22,25/01/2019,74000,VIC,QLD,Gold Coast,110,30,30,40,10,15,10,0.40,#N/A,1
C_1036,31,B2487,FD3,15/04/2019,17/03/2019,#N/A,#N/A,#N/A,#N/A,2,90,N,Dinner,25,22,25/01/2019,74000,VIC,QLD,Gold Coast,110,30,30,40,10,50,40,0.44,#N/A,1
C_1036,31,B2487,FD4,15/04/2019,17/03/2019,#N/A,#N/A,#N/A,#N/A,11,275,N,Bar and beverage package,10,22,25/01/2019,74000,VIC,QLD,Gold Coast,110,30,30,40,10,110,165,0.60,#N/A,1
C_1036,31,B2486,SPA1,29/01/2019,11/01/2019,#N/A,#N/A,#N/A,#N/A,3,180,N,Deluxe Spa Service,30,22,25/01/2019,74000,VIC,QLD,Gold Coast,110,30,30,40,10,90,90,0.50,#N/A,1
C_1045,21,B1953,ROOM2,12/11/2018,10/10/2018,24/10/2018,12/11/2018,4,2,19,4940,N,Deluxe room per night,120,31,24/10/2018,59000,VIC,VIC,Melbourne City,65,40,15,5,5,2280,2660,0.54,14,1
C_1045,31,B1953,FD4,12/11/2018,10/10/2018,#N/A,#N/A,#N/A,#N/A,13,325,N,Bar and beverage package,10,31,24/10/2018,59000,VIC,QLD,Gold Coast,110,30,30,40,10,130,195,0.60,#N/A,1
C_1069,11,B2132,ROOM1,3/09/2018,13/08/2018,27/08/2018,3/09/2018,2,2,7,1120,N,Standard room per night,80,45,27/08/2018,96000,VIC,NSW,Sydney City,84,64,10,5,5,560,560,0.50,14,1
C_1069,31,B2132,SPA3,3/09/2018,13/08/2018,#N/A,#N/A,#N/A,#N/A,2,800,N,All Day Spa Service,170,45,27/08/2018,96000,VIC,QLD,Gold Coast,110,30,30,40,10,340,460,0.58,#N/A,1
C_1073,31,B1630,ROOM1,29/11/2018,3/11/2018,17/11/2018,29/11/2018,7,5,12,1920,N,Standard room per night,80,18,17/11/2018,0,TAS,QLD,Gold Coast,110,30,30,40,10,960,960,0.50,14,1
C_1073,31,B1630,FD3,29/11/2018,3/11/2018,#N/A,#N/A,#N/A,#N/A,6,270,N,Dinner,25,18,17/11/2018,0,TAS,QLD,Gold Coast,110,30,30,40,10,150,120,0.44,#N/A,1
C_1073,31,B1630,FD2,29/11/2018,3/11/2018,#N/A,#N/A,#N/A,#N/A,1,25,N,Breakfast,15,18,17/11/2018,0,TAS,QLD,Gold Coast,110,30,30,40,10,15,10,0.40,#N/A,1
C_1075,31,B2589,ROOM3,5/01/2019,13/12/2018,27/12/2018,5/01/2019,5,7,9,4500,N,Club suite per night,200,24,27/12/2018,85000,TAS,QLD,Gold Coast,110,30,30,40,10,1800,2700,0.60,14,1
C_1075,31,B2589,FD3,5/01/2019,13/12/2018,#N/A,#N/A,#N/A,#N/A,6,270,N,Dinner,25,24,27/12/2018,85000,TAS,QLD,Gold Coast,110,30,30,40,10,150,120,0.44,#N/A,1
C_1075,31,B2589,FD2,5/01/2019,13/12/2018,#N/A,#N/A,#N/A,#N/A,4,100,N,Breakfast,15,24,27/12/2018,85000,TAS,QLD,Gold Coast,110,30,30,40,10,60,40,0.40,#N/A,1
C_1075,31,B2589,FD4,5/01/2019,13/12/2018,#N/A,#N/A,#N/A,#N/A,1,25,N,Bar and beverage package,10,24,27/12/2018,85000,TAS,QLD,Gold Coast,110,30,30,40,10,10,15,0.60,#N/A,1
C_1081,21,B1834,ROOM2,11/01/2019,17/12/2018,31/12/2018,11/01/2019,2,6,11,2860,N,Deluxe room per night,120,33,31/12/2018,79000,NSW,VIC,Melbourne City,65,40,15,5,5,1320,1540,0.54,14,1
C_1081,11,B1835,ROOM1,19/04/2019,3/04/2019,17/04/2019,19/04/2019,4,6,2,320,N,Standard room per night,80,33,31/12/2018,79000,NSW,NSW,Sydney City,84,64,10,5,5,160,160,0.50,14,1
C_1081,31,B1834,SPA3,11/01/2019,17/12/2018,#N/A,#N/A,#N/A,#N/A,3,1200,N,All Day Spa Service,170,33,31/12/2018,79000,NSW,QLD,Gold Coast,110,30,30,40,10,510,690,0.58,#N/A,1
C_1093,21,B2021,ROOM2,19/11/2018,28/10/2018,11/11/2018,19/11/2018,1,2,8,2080,N,Deluxe room per night,120,43,11/11/2018,66000,TAS,VIC,Melbourne City,65,40,15,5,5,960,1120,0.54,14,1
C_1093,21,B2022,ROOM4,19/03/2019,17/02/2019,3/03/2019,19/03/2019,1,3,16,11200,N,Family room per night,250,43,11/11/2018,66000,TAS,VIC,Melbourne City,65,40,15,5,5,4000,7200,0.64,14,1
C_1093,31,B2021,FD2,19/11/2018,28/10/2018,#N/A,#N/A,#N/A,#N/A,5,125,N,Breakfast,15,43,11/11/2018,66000,TAS,QLD,Gold Coast,110,30,30,40,10,75,50,0.40,#N/A,1
C_1093,31,B2022,SPA3,19/03/2019,17/02/2019,#N/A,#N/A,#N/A,#N/A,3,1200,N,All Day Spa Service,170,43,11/11/2018,66000,TAS,QLD,Gold Coast,110,30,30,40,10,510,690,0.58,#N/A,1
C_1093,31,B2022,FD4,19/03/2019,17/02/2019,#N/A,#N/A,#N/A,#N/A,7,175,N,Bar and beverage package,10,43,11/11/2018,66000,TAS,QLD,Gold Coast,110,30,30,40,10,70,105,0.60,#N/A,1
C_1093,31,B2021,SPA3,19/11/2018,28/10/2018,#N/A,#N/A,#N/A,#N/A,4,1600,N,All Day Spa Service,170,43,11/11/2018,66000,TAS,QLD,Gold Coast,110,30,30,40,10,680,920,0.58,#N/A,1
C_1093,31,B2022,FD2,19/03/2019,17/02/2019,#N/A,#N/A,#N/A,#N/A,9,225,N,Breakfast,15,43,11/11/2018,66000,TAS,QLD,Gold Coast,110,30,30,40,10,135,90,0.40,#N/A,1
C_1121,11,B1891,ROOM2,14/07/2018,19/06/2018,3/07/2018,14/07/2018,3,7,11,2860,N,Deluxe room per night,120,54,3/07/2018,225000,WA,NSW,Sydney City,84,64,10,5,5,1320,1540,0.54,14,1
C_1121,31,B1891,FD2,14/07/2018,19/06/2018,#N/A,#N/A,#N/A,#N/A,3,75,N,Breakfast,15,54,3/07/2018,225000,WA,QLD,Gold Coast,110,30,30,40,10,45,30,0.40,#N/A,1
C_1125,31,B1603,ROOM1,1/12/2018,7/11/2018,21/11/2018,1/12/2018,4,7,10,1600,N,Standard room per night,80,19,21/11/2018,4000,ACT,QLD,Gold Coast,110,30,30,40,10,800,800,0.50,14,1
C_1125,31,B1603,SPA3,1/12/2018,7/11/2018,#N/A,#N/A,#N/A,#N/A,2,800,N,All Day Spa Service,170,19,21/11/2018,4000,ACT,QLD,Gold Coast,110,30,30,40,10,340,460,0.58,#N/A,1
C_1125,31,B1603,FD4,1/12/2018,7/11/2018,#N/A,#N/A,#N/A,#N/A,2,50,N,Bar and beverage package,10,19,21/11/2018,4000,ACT,QLD,Gold Coast,110,30,30,40,10,20,30,0.60,#N/A,1
C_1125,31,B1603,FD2,1/12/2018,7/11/2018,#N/A,#N/A,#N/A,#N/A,5,125,N,Breakfast,15,19,21/11/2018,4000,ACT,QLD,Gold Coast,110,30,30,40,10,75,50,0.40,#N/A,1
C_1125,31,B1603,FD3,1/12/2018,7/11/2018,#N/A,#N/A,#N/A,#N/A,3,135,N,Dinner,25,19,21/11/2018,4000,ACT,QLD,Gold Coast,110,30,30,40,10,75,60,0.44,#N/A,1
C_1126,31,B2460,ROOM1,25/11/2018,30/10/2018,13/11/2018,25/11/2018,3,1,12,1920,N,Standard room per night,80,31,13/11/2018,46000,SA,QLD,Gold Coast,110,30,30,40,10,960,960,0.50,14,1
C_1126,31,B2460,FD4,25/11/2018,30/10/2018,#N/A,#N/A,#N/A,#N/A,9,225,N,Bar and beverage package,10,31,13/11/2018,46000,SA,QLD,Gold Coast,110,30,30,40,10,90,135,0.60,#N/A,1
C_1126,31,B2460,FD2,25/11/2018,30/10/2018,#N/A,#N/A,#N/A,#N/A,1,25,N,Breakfast,15,31,13/11/2018,46000,SA,QLD,Gold Coast,110,30,30,40,10,15,10,0.40,#N/A,1
C_1135,11,B2168,ROOM4,8/04/2019,23/03/2019,6/04/2019,8/04/2019,7,2,2,1400,N,Family room per night,250,58,6/04/2019,238000,QLD,NSW,Sydney City,84,64,10,5,5,500,900,0.64,14,1
C_1141,21,B2129,ROOM4,18/08/2018,15/07/2018,29/07/2018,18/08/2018,1,7,20,14000,N,Family room per night,250,33,29/07/2018,110000,VIC,VIC,Melbourne City,65,40,15,5,5,5000,9000,0.64,14,1
C_1141,31,B2129,SPA3,18/08/2018,15/07/2018,#N/A,#N/A,#N/A,#N/A,3,1200,N,All Day Spa Service,170,33,29/07/2018,110000,VIC,QLD,Gold Coast,110,30,30,40,10,510,690,0.58,#N/A,1
C_1141,31,B2129,FD2,18/08/2018,15/07/2018,#N/A,#N/A,#N/A,#N/A,5,125,N,Breakfast,15,33,29/07/2018,110000,VIC,QLD,Gold Coast,110,30,30,40,10,75,50,0.40,#N/A,1
C_1141,31,B2129,FD4,18/08/2018,15/07/2018,#N/A,#N/A,#N/A,#N/A,4,100,N,Bar and beverage package,10,33,29/07/2018,110000,VIC,QLD,Gold Coast,110,30,30,40,10,40,60,0.60,#N/A,1
C_1144,31,B1634,ROOM1,4/12/2018,9/11/2018,23/11/2018,4/12/2018,6,3,11,1760,N,Standard room per night,80,18,23/11/2018,0,VIC,QLD,Gold Coast,110,30,30,40,10,880,880,0.50,14,1
C_1144,31,B1634,FD4,4/12/2018,9/11/2018,#N/A,#N/A,#N/A,#N/A,3,75,N,Bar and beverage package,10,18,23/11/2018,0,VIC,QLD,Gold Coast,110,30,30,40,10,30,45,0.60,#N/A,1
C_1160,31,B1895,ROOM1,25/03/2019,25/02/2019,11/03/2019,25/03/2019,2,2,14,2240,N,Standard room per night,80,49,11/03/2019,120000,WA,QLD,Gold Coast,110,30,30,40,10,1120,1120,0.50,14,1
C_1160,31,B1895,SPA1,25/03/2019,25/02/2019,#N/A,#N/A,#N/A,#N/A,1,60,N,Deluxe Spa Service,30,49,11/03/2019,120000,WA,QLD,Gold Coast,110,30,30,40,10,30,30,0.50,#N/A,1
C_1175,31,B2199,ROOM1,6/12/2018,20/11/2018,4/12/2018,6/12/2018,3,5,2,320,N,Standard room per night,80,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,160,160,0.50,14,1
C_1175,31,B2200,ROOM1,28/03/2019,24/02/2019,10/03/2019,28/03/2019,1,5,18,2880,N,Standard room per night,80,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,1440,1440,0.50,14,1
C_1175,31,B2201,ROOM1,6/05/2019,16/04/2019,30/04/2019,6/05/2019,3,2,6,960,N,Standard room per night,80,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,480,480,0.50,14,1
C_1175,31,B2202,ROOM4,11/06/2019,13/05/2019,27/05/2019,11/06/2019,2,3,15,10500,N,Family room per night,250,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,3750,6750,0.64,14,1
C_1175,31,B2202,FD4,11/06/2019,13/05/2019,#N/A,#N/A,#N/A,#N/A,12,300,N,Bar and beverage package,10,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,120,180,0.60,#N/A,1
C_1175,31,B2201,FD4,6/05/2019,16/04/2019,#N/A,#N/A,#N/A,#N/A,2,50,N,Bar and beverage package,10,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,20,30,0.60,#N/A,1
C_1175,31,B2200,FD4,28/03/2019,24/02/2019,#N/A,#N/A,#N/A,#N/A,14,350,N,Bar and beverage package,10,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,140,210,0.60,#N/A,1
C_1175,31,B2199,FD2,6/12/2018,20/11/2018,#N/A,#N/A,#N/A,#N/A,1,25,N,Breakfast,15,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,15,10,0.40,#N/A,1
C_1175,31,B2200,SPA3,28/03/2019,24/02/2019,#N/A,#N/A,#N/A,#N/A,1,400,N,All Day Spa Service,170,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,170,230,0.58,#N/A,1
C_1175,31,B2199,FD3,6/12/2018,20/11/2018,#N/A,#N/A,#N/A,#N/A,2,90,N,Dinner,25,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,50,40,0.44,#N/A,1
C_1175,31,B2201,SPA1,6/05/2019,16/04/2019,#N/A,#N/A,#N/A,#N/A,2,120,N,Deluxe Spa Service,30,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,60,60,0.50,#N/A,1
C_1175,31,B2201,FD2,6/05/2019,16/04/2019,#N/A,#N/A,#N/A,#N/A,1,25,N,Breakfast,15,60,4/12/2018,250000,TAS,QLD,Gold Coast,110,30,30,40,10,15,10,0.40,#N/A,1
C_1185,21,B2156,ROOM2,20/11/2018,21/10/2018,4/11/2018,20/11/2018,1,3,16,4160,N,Deluxe room per night,120,28,4/11/2018,56000,NSW,VIC,Melbourne City,65,40,15,5,5,1920,2240,0.54,14,1
C_1185,31,B2157,ROOM1,18/04/2019,17/03/2019,31/03/2019,18/04/2019,1,5,18,2880,N,Standard room per night,80,28,4/11/2018,56000,NSW,QLD,Gold Coast,110,30,30,40,10,1440,1440,0.50,14,1
C_1185,31,B2156,SPA3,20/11/2018,21/10/2018,#N/A,#N/A,#N/A,#N/A,3,1200,N,All Day Spa Service,170,28,4/11/2018,56000,NSW,QLD,Gold Coast,110,30,30,40,10,510,690,0.58,#N/A,1
C_1185,31,B2156,FD4,20/11/2018,21/10/2018,#N/A,#N/A,#N/A,#N/A,9,225,N,Bar and beverage package,10,28,4/11/2018,56000,NSW,QLD,Gold Coast,110,30,30,40,10,90,135,0.60,#N/A,1
C_1185,31,B2157,FD3,18/04/2019,17/03/2019,#N/A,#N/A,#N/A,#N/A,2,90,N,Dinner,25,28,4/11/2018,56000,NSW,QLD,Gold Coast,110,30,30,40,10,50,40,0.44,#N/A,1
C_1201,31,B2441,ROOM2,4/12/2018,18/11/2018,2/12/2018,4/12/2018,1,3,2,520,Y,Deluxe room per night,120,23,2/12/2018,78000,NT,QLD,Gold Coast,110,30,30,40,10,240,280,0.54,14,1
C_1201,31,B2441,FD4,4/12/2018,18/11/2018,#N/A,#N/A,#N/A,#N/A,2,50,N,Bar and beverage package,10,23,2/12/2018,78000,NT,QLD,Gold Coast,110,30,30,40,10,20,30,0.60,#N/A,1
C_1212,31,B1513,ROOM4,2/10/2018,7/09/2018,21/09/2018,2/10/2018,6,3,11,6600,N,Family room per night,250,53,21/09/2018,263000,QLD,QLD,Gold Coast,110,30,30,40,10,2750,3850,0.58,14,1
C_1212,31,B1513,FD3,2/10/2018,7/09/2018,#N/A,#N/A,#N/A,#N/A,9,405,N,Dinner,25,53,21/09/2018,263000,QLD,QLD,Gold Coast,110,30,30,40,10,225,180,0.44,#N/A,1
C_1212,31,B1513,FD4,2/10/2018,7/09/2018,#N/A,#N/A,#N/A,#N/A,11,275,N,Bar and beverage package,10,53,21/09/2018,263000,QLD,QLD,Gold Coast,110,30,30,40,10,110,165,0.60,#N/A,1
C_1222,31,B1569,ROOM4,26/04/2019,29/03/2019,12/04/2019,26/04/2019,6,6,14,8400,N,Family room per night,250,52,12/04/2019,143000,NSW,QLD,Gold Coast,110,30,30,40,10,3500,4900,0.58,14,1
C_1222,31,B1569,FD2,26/04/2019,29/03/2019,#N/A,#N/A,#N/A,#N/A,8,200,N,Breakfast,15,52,12/04/2019,143000,NSW,QLD,Gold Coast,110,30,30,40,10,120,80,0.40,#N/A,1
C_1222,31,B1569,FD4,26/04/2019,29/03/2019,#N/A,#N/A,#N/A,#N/A,7,175,N,Bar and beverage package,10,52,12/04/2019,143000,NSW,QLD,Gold Coast,110,30,30,40,10,70,105,0.60,#N/A,1
C_1222,31,B1569,FD3,26/04/2019,29/03/2019,#N/A,#N/A,#N/A,#N/A,10,450,N,Dinner,25,52,12/04/2019,143000,NSW,QLD,Gold Coast,110,30,30,40,10,250,200,0.44,#N/A,1
C_1233,21,B1686,ROOM3,6/04/2019,4/03/2019,18/03/2019,6/04/2019,2,7,19,9500,N,Club suite per night,200,47,18/03/2019,95000,NSW,VIC,Melbourne City,65,40,15,5,5,3800,5700,0.60,14,1
C_1233,31,B1686,FD3,6/04/2019,4/03/2019,#N/A,#N/A,#N/A,#N/A,9,405,N,Dinner,25,47,18/03/2019,95000,NSW,QLD,Gold Coast,110,30,30,40,10,225,180,0.44,#N/A,1
C_1233,31,B1686,SPA3,6/04/2019,4/03/2019,#N/A,#N/A,#N/A,#N/A,1,400,N,All Day Spa Service,170,47,18/03/2019,95000,NSW,QLD,Gold Coast,110,30,30,40,10,170,230,0.58,#N/A,1
C_1233,31,B1686,FD2,6/04/2019,4/03/2019,#N/A,#N/A,#N/A,#N/A,17,425,N,Breakfast,15,47,18/03/2019,95000,NSW,QLD,Gold Coast,110,30,30,40,10,255,170,0.40,#N/A,1
C_1233,31,B1686,FD4,6/04/2019,4/03/2019,#N/A,#N/A,#N/A,#N/A,10,250,N,Bar and beverage package,10,47,18/03/2019,95000,NSW,QLD,Gold Coast,110,30,30,40,10,100,150,0.60,#N/A,1
C_1236,31,B1602,ROOM1,5/12/2018,10/11/2018,24/11/2018,5/12/2018,7,4,11,1760,N,Standard room per night,80,19,24/11/2018,5000,WA,QLD,Gold Coast,110,30,30,40,10,880,880,0.50,14,1
C_1236,31,B1602,FD3,5/12/2018,10/11/2018,#N/A,#N/A,#N/A,#N/A,2,90,N,Dinner,25,19,24/11/2018,5000,WA,QLD,Gold Coast,110,30,30,40,10,50,40,0.44,#N/A,1
C_1238,21,B1978,ROOM1,2/09/2018,5/08/2018,19/08/2018,2/09/2018,1,1,14,2240,N,Standard room per night,80,46,19/08/2018,177000,SA,VIC,Melbourne City,65,40,15,5,5,1120,1120,0.50,14,1
C_1238,31,B1979,ROOM1,13/01/2019,12/12/2018,26/12/2018,13/01/2019,4,1,18,2880,Y,Standard room per night,80,46,19/08/2018,177000,SA,QLD,Gold Coast,110,30,30,40,10,1440,1440,0.50,14,1
C_1238,31,B1979,FD4,13/01/2019,12/12/2018,#N/A,#N/A,#N/A,#N/A,12,300,N,Bar and beverage package,10,46,19/08/2018,177000,SA,QLD,Gold Coast,110,30,30,40,10,120,180,0.60,#N/A,1
C_1238,31,B1979,FD2,13/01/2019,12/12/2018,#N/A,#N/A,#N/A,#N/A,7,175,N,Breakfast,15,46,19/08/2018,177000,SA,QLD,Gold Coast,110,30,30,40,10,105,70,0.40,#N/A,1
C_1238,31,B1978,FD4,2/09/2018,5/08/2018,#N/A,#N/A,#N/A,#N/A,8,200,N,Bar and beverage package,10,46,19/08/2018,177000,SA,QLD,Gold Coast,110,30,30,40,10,80,120,0.60,#N/A,1
C_1238,31,B1978,SPA3,2/09/2018,5/08/2018,#N/A,#N/A,#N/A,#N/A,2,800,N,All Day Spa Service,170,46,19/08/2018,177000,SA,QLD,Gold Coast,110,30,30,40,10,340,460,0.58,#N/A,1
C_1241,11,B2220,ROOM4,30/04/2019,4/04/2019,18/04/2019,30/04/2019,5,3,12,8400,N,Family room per night,250,60,18/04/2019,207000,NSW,NSW,Sydney City,84,64,10,5,5,3000,5400,0.64,14,1
C_1241,21,B2221,ROOM1,10/07/2019,8/06/2019,22/06/2019,10/07/2019,7,4,18,2880,N,Standard room per night,80,60,18/04/2019,207000,NSW,VIC,Melbourne City,65,40,15,5,5,1440,1440,0.50,14,1
C_1241,31,B2221,SPA3,10/07/2019,8/06/2019,#N/A,#N/A,#N/A,#N/A,3,1200,N,All Day Spa Service,170,60,18/04/2019,207000,NSW,QLD,Gold Coast,110,30,30,40,10,510,690,0.58,#N/A,1
C_1241,31,B2220,FD3,30/04/2019,4/04/2019,#N/A,#N/A,#N/A,#N/A,5,225,N,Dinner,25,60,18/04/2019,207000,NSW,QLD,Gold Coast,110,30,30,40,10,125,100,0.44,#N/A,1
C_1241,31,B2221,FD2,10/07/2019,8/06/2019,#N/A,#N/A,#N/A,#N/A,10,250,N,Breakfast,15,60,18/04/2019,207000,NSW,QLD,Gold Coast,110,30,30,40,10,150,100,0.40,#N/A,1
C_1241,31,B2220,SPA3,30/04/2019,4/04/2019,#N/A,#N/A,#N/A,#N/A,1,400,N,All Day Spa Service,170,60,18/04/2019,207000,NSW,QLD,Gold Coast,110,30,30,40,10,170,230,0.58,#N/A,1
C_1244,11,B2253,ROOM2,4/02/2019,2/01/2019,16/01/2019,4/02/2019,4,2,19,4940,N,Deluxe room per night,120,58,16/01/2019,202000,WA,NSW,Sydney City,84,64,10,5,5,2280,2660,0.54,14,1
C_1244,31,B2253,FD2,4/02/2019,2/01/2019,#N/A,#N/A,#N/A,#N/A,12,300,N,Breakfast,15,58,16/01/2019,202000,WA,QLD,Gold Coast,110,30,30,40,10,180,120,0.40,#N/A,1
C_1244,31,B2253,FD4,4/02/2019,2/01/2019,#N/A,#N/A,#N/A,#N/A,2,50,N,Bar and beverage package,10,58,16/01/2019,202000,WA,QLD,Gold Coast,110,30,30,40,10,20,30,0.60,#N/A,1
C_1247,21,B1862,ROOM1,16/08/2018,16/07/2018,30/07/2018,16/08/2018,2,5,17,2720,N,Standard room per night,80,34,30/07/2018,115000,NSW,VIC,Melbourne City,65,40,15,5,5,1360,1360,0.50,14,1
C_1247,31,B1862,FD4,16/08/2018,16/07/2018,#N/A,#N/A,#N/A,#N/A,8,200,N,Bar and beverage package,10,34,30/07/2018,115000,NSW,QLD,Gold Coast,110,30,30,40,10,80,120,0.60,#N/A,1
C_1247,31,B1862,FD2,16/08/2018,16/07/2018,#N/A,#N/A,#N/A,#N/A,6,150,N,Breakfast,15,34,30/07/2018,115000,NSW,QLD,Gold Coast,110,30,30,40,10,90,60,0.40,#N/A,1
C_1279,31,B1669,ROOM1,22/01/2019,19/12/2018,2/01/2019,22/01/2019,4,3,20,3200,Y,Standard room per night,80,46,2/01/2019,128000,SA,QLD,Gold Coast,110,30,30,40,10,1600,1600,0.50,14,1
C_1279,11,B1670,ROOM1,15/03/2019,27/02/2019,13/03/2019,15/03/2019,4,6,2,320,N,Standard room per night,80,46,2/01/2019,128000,SA,NSW,Sydney City,84,64,10,5,5,160,160,0.50,14,1
C_1279,11,B1671,ROOM2,19/06/2019,17/05/2019,31/05/2019,19/06/2019,6,4,19,4940,N,Deluxe room per night,120,46,2/01/2019,128000,SA,NSW,Sydney City,84,64,10,5,5,2280,2660,0.54,14,1
C_1279,31,B1669,SPA1,22/01/2019,19/12/2018,#N/A,#N/A,#N/A,#N/A,3,180,N,Deluxe Spa Service,30,46,2/01/2019,128000,SA,QLD,Gold Coast,110,30,30,40,10,90,90,0.50,#N/A,1
C_1279,31,B1671,FD4,19/06/2019,17/05/2019,#N/A,#N/A,#N/A,#N/A,10,250,N,Bar and beverage package,10,46,2/01/2019,128000,SA,QLD,Gold Coast,110,30,30,40,10,100,150,0.60,#N/A,1
C_1279,31,B1670,SPA3,15/03/2019,27/02/2019,#N/A,#N/A,#N/A,#N/A,4,1600,N,All Day Spa Service,170,46,2/01/2019,128000,SA,QLD,Gold Coast,110,30,30,40,10,680,920,0.58,#N/A,1
C_1285,21,B2673,ROOM2,3/09/2018,31/07/2018,14/08/2018,3/09/2018,3,2,20,5200,N,Deluxe room per night,120,25,14/08/2018,62000,NSW,VIC,Melbourne City,65,40,15,5,5,2400,2800,0.54,14,1
C_1285,21,B2674,ROOM1,12/11/2018,8/10/2018,22/10/2018,12/11/2018,2,2,21,3360,N,Standard room per night,80,25,14/08/2018,62000,NSW,VIC,Melbourne City,65,40,15,5,5,1680,1680,0.50,14,1
C_1285,31,B2675,ROOM2,29/12/2018,30/11/2018,14/12/2018,29/12/2018,6,7,15,3900,N,Deluxe room per night,120,25,14/08/2018,62000,NSW,QLD,Gold Coast,110,30,30,40,10,1800,2100,0.54,14,1
